iter	RMSE
0	14.49408722
1	14.01438017
2	13.59576211
3	13.19203566
4	12.77464144
5	12.38336547
6	12.08723659
7	11.71493602
8	11.36664166
9	11.10525394
10	10.8809008
11	10.57956423
12	10.29064114
13	10.02501504
14	9.770567088
15	9.57198651
16	9.350284685
17	9.129235986
18	8.924608062
19	8.740728806
20	8.57571472
21	8.403371338
22	8.263972454
23	8.107546053
24	7.961871113
25	7.819736538
26	7.692061598
27	7.570280124
28	7.460135507
29	7.351834497
30	7.263274115
31	7.177511147
32	7.080917439
33	7.001242934
34	6.916007901
35	6.867077796
36	6.796013773
37	6.738801033
38	6.681728795
39	6.609307294
40	6.560537906
41	6.501973281
42	6.453977909
43	6.396554299
44	6.346367675
45	6.306228785
46	6.258918483
47	6.218499379
48	6.182418638
49	6.145601974
50	6.113607448
51	6.080051858
52	6.045822973
53	6.006860851
54	5.973437972
55	5.944895266
56	5.923661187
57	5.897081057
58	5.875848444
59	5.850575389
60	5.827552172
61	5.808030988
62	5.793495499
63	5.775565246
64	5.757707906
65	5.736542046
66	5.719510088
67	5.70699579
68	5.688950502
69	5.67526581
70	5.662466128
71	5.647748542
72	5.635628848
73	5.624468421
74	5.611573449
75	5.598875506
76	5.590137872
77	5.575718418
78	5.560982758
79	5.551068372
80	5.542337675
81	5.535204826
82	5.524161031
83	5.511045269
84	5.503268366
85	5.495835932
86	5.483542979
87	5.480323587
88	5.471649331
89	5.463699614
90	5.458245406
91	5.450670156
92	5.443912198
93	5.433182986
94	5.426952911
95	5.424267633
96	5.417297602
97	5.410847944
98	5.403594639
99	5.397584876
100	5.389677607
101	5.383372986
102	5.376775705
103	5.369642037
104	5.362444255
105	5.355424101
106	5.351178591
107	5.345542198
108	5.340519808
109	5.336934603
110	5.331290931
111	5.327050885
112	5.321426024
113	5.315610619
114	5.311491218
115	5.305715279
116	5.302815392
117	5.296651328
118	5.292030585
119	5.287578824
120	5.281686884
121	5.277165554
122	5.271790452
123	5.267319615
124	5.263830319
125	5.259450299
126	5.254932628
127	5.252603369
128	5.248331444
129	5.243675212
130	5.239067711
131	5.232122906
132	5.229279721
133	5.225411381
134	5.22112899
135	5.217473178
136	5.2107306
137	5.207558285
138	5.202908143
139	5.197806748
140	5.193639424
141	5.189926494
142	5.186920109
143	5.183931308
144	5.179329642
145	5.175386631
146	5.167699642
147	5.163850983
148	5.159933932
149	5.154038685
150	5.148305132
151	5.143989846
152	5.139589086
153	5.135001523
154	5.131654061
155	5.125382471
156	5.122376252
157	5.114929275
158	5.108447782
159	5.104434438
160	5.101323471
161	5.097739753
162	5.092708512
163	5.08794887
164	5.08414512
165	5.079595614
166	5.074288405
167	5.06798496
168	5.064064778
169	5.06120908
170	5.059083452
171	5.053747625
172	5.048060205
173	5.041120326
174	5.038094163
175	5.032758823
176	5.027818407
177	5.022772232
178	5.019579534
179	5.016919751
180	5.014109697
181	5.009383825
182	5.003234539
183	4.998979558
184	4.997029289
185	4.992901339
186	4.989414428
187	4.985043813
188	4.982081194
189	4.97659289
190	4.97087909
191	4.967459218
192	4.964060629
193	4.959985818
194	4.95662706
195	4.950217246
196	4.947632802
197	4.943547435
198	4.938183443
199	4.935338809
