iter	Passed	Remaining
0	0	142
1	1	128
2	1	125
3	2	123
4	3	123
5	3	123
6	4	123
7	5	120
8	5	120
9	6	119
10	6	119
11	7	117
12	8	116
13	8	115
14	9	114
15	9	114
16	10	114
17	11	113
18	11	112
19	12	112
20	13	111
21	13	110
22	14	109
23	14	108
24	15	107
25	15	106
26	16	105
27	17	104
28	17	104
29	18	104
30	19	103
31	19	103
32	20	103
33	21	103
34	21	103
35	22	102
36	23	102
37	24	102
38	24	103
39	25	102
40	26	103
41	27	102
42	28	102
43	28	101
44	29	100
45	29	100
46	30	99
47	31	98
48	31	97
49	32	97
50	33	96
51	33	96
52	34	95
53	35	94
54	35	94
55	36	93
56	37	92
57	37	92
58	38	91
59	39	91
60	39	90
61	40	89
62	41	89
63	41	88
64	42	87
65	43	87
66	43	86
67	44	86
68	44	85
69	45	84
70	46	84
71	46	83
72	47	82
73	48	82
74	48	81
75	49	80
76	50	80
77	50	79
78	51	78
79	51	77
80	52	77
81	53	76
82	53	75
83	54	75
84	55	74
85	55	73
86	56	73
87	56	72
88	57	71
89	58	71
90	58	70
91	59	69
92	60	69
93	60	68
94	61	67
95	61	67
96	62	66
97	63	65
98	63	65
99	64	64
100	65	63
101	65	63
102	66	62
103	67	61
104	67	61
105	68	60
106	69	60
107	69	59
108	70	58
109	71	58
110	71	57
111	72	56
112	73	56
113	73	55
114	74	55
115	75	54
116	75	53
117	76	52
118	76	52
119	77	51
120	78	50
121	78	50
122	79	49
123	80	49
124	80	48
125	81	47
126	82	47
127	82	46
128	83	45
129	84	45
130	84	44
131	85	43
132	85	43
133	86	42
134	87	41
135	87	41
136	88	40
137	88	39
138	89	39
139	89	38
140	90	37
141	91	37
142	91	36
143	92	35
144	93	35
145	93	34
146	94	34
147	94	33
148	95	32
149	96	32
150	96	31
151	97	30
152	98	30
153	98	29
154	99	28
155	99	28
156	100	27
157	101	26
158	101	26
159	102	25
160	103	24
161	103	24
162	104	23
163	105	23
164	105	22
165	106	21
166	107	21
167	108	20
168	108	19
169	109	19
170	110	18
171	110	18
172	111	17
173	111	16
174	112	16
175	113	15
176	113	14
177	114	14
178	114	13
179	115	12
180	115	12
181	116	11
182	117	10
183	117	10
184	118	9
185	118	8
186	119	8
187	120	7
188	120	7
189	121	6
190	121	5
191	122	5
192	123	4
193	123	3
194	124	3
195	124	2
196	125	1
197	125	1
198	126	0
199	127	0
